TR	canonical_drug	dataset	drug_name	TF	n	max_AAC	c_index	p_value	lower95	upper95	spearman_rho	FDR	direction	significant	effect_abs	Category	drug	Drug_TR	Cohort	display_drug	pathway_or_moa	mapped_drug_name	Label	label	OS	RFS
WWC2	CID:46191454	CTRPv2	Pha-793887	WWC2	57	0.495842940145953	0.367794486215539	0.000113021757170114	0.300679166846474	0.434909805584604	-0.385921700803734	0.0171952460556121	higher TF activity -> resistance	TRUE	0.132205513784461	Negative_Correlated_CI_Significant	CID:46191454	CID:46191454_WWC2_Negative_Correlated_CI_Significant	CTRPv2	Pha-793887	inhibitor of cyclin-dependent kinases	Pha-793887	Kinase Inhibitor	Pha-793887_WWC2_CTRPv2	NA	NA
WWC2	CID:46191454	PRISM	Pha-793887	WWC2	45	0.520887266957723	0.337714863498483	0.000129501174192296	0.254610776908725	0.420818950088241	-0.48914654659429	0.0280280935813803	higher TF activity -> resistance	TRUE	0.162285136501517	Negative_Correlated_CI_Significant	CID:46191454	CID:46191454_WWC2_Negative_Correlated_CI_Significant	PRISM	Pha-793887	CDK inhibitor	Pha-793887	Kinase Inhibitor	Pha-793887_WWC2_PRISM	NA	NA
ZNF254	CID:11977753	GDSC2	Dactolisib	ZNF254	44	0.355837300932374	0.331923890063425	1.36362603392653e-05	0.256188129762156	0.407659650364694	-0.488090204369274	0.00274770645836196	higher TF activity -> resistance	TRUE	0.168076109936575	Negative_Correlated_CI_Significant	CID:11977753	CID:11977753_ZNF254_Negative_Correlated_CI_Significant	GDSC2	Dactolisib	PI3K/MTOR signaling	Dactolisib	PI3K/Akt/mTOR	Dactolisib_ZNF254_GDSC2	Non-Prognostic	NA
ZNF254	CID:11977753	PRISM	Dactolisib	ZNF254	45	0.70975698140133	0.367676767676768	0.000163523248451905	0.298876304660663	0.436477230692872	-0.399604743083004	0.0335450169932947	higher TF activity -> resistance	TRUE	0.132323232323232	Negative_Correlated_CI_Significant	CID:11977753	CID:11977753_ZNF254_Negative_Correlated_CI_Significant	PRISM	Dactolisib	mTOR inhibitor, PI3K inhibitor	Dactolisib	PI3K/Akt/mTOR	Dactolisib_ZNF254_PRISM	Non-Prognostic	NA
ZNF254	CID:3385	CTRPv2	5-Fluorouracil	ZNF254	56	0.3210187316228	0.363695510735198	8.22099198491504e-05	0.295853695642566	0.431537325827831	-0.403035068273649	0.0137406354767587	higher TF activity -> resistance	TRUE	0.136304489264802	Negative_Correlated_CI_Significant	CID:3385	CID:3385_ZNF254_Negative_Correlated_CI_Significant	CTRPv2	5-Fluorouracil	pyrimidine analog; inhibitor of thymidylate synthase	5-Fluorouracil	Anti-metabolite	5-Fluorouracil_ZNF254_CTRPv2	Non-Prognostic	NA
ZNF254	CID:3385	GDSC2	5-Fluorouracil	ZNF254	48	0.324755663067192	0.356444444444444	2.46059121090501e-05	0.289745041268023	0.423143847620866	-0.421778311029786	0.00407617844808912	higher TF activity -> resistance	TRUE	0.143555555555556	Negative_Correlated_CI_Significant	CID:3385	CID:3385_ZNF254_Negative_Correlated_CI_Significant	GDSC2	5-Fluorouracil	Other	5-Fluorouracil	Anti-metabolite	5-Fluorouracil_ZNF254_GDSC2	Non-Prognostic	NA
ZNF254	CID:5311	GDSC2	Vorinostat	ZNF254	44	0.278364318915396	0.318181818181818	7.11000208575324e-06	0.238821498657504	0.397542137706132	-0.527836504580691	0.00214899813041892	higher TF activity -> resistance	TRUE	0.181818181818182	Negative_Correlated_CI_Significant	CID:5311	CID:5311_ZNF254_Negative_Correlated_CI_Significant	GDSC2	Vorinostat	Chromatin histone acetylation	Vorinostat	Small Molecule Inhibitor	Vorinostat_ZNF254_GDSC2	Non-Prognostic	NA
ZNF254	CID:5311	PRISM	Vorinostat	ZNF254	45	0.386907169121653	0.35959595959596	1.86187096740312e-06	0.301878977983816	0.417312941208103	-0.439525691699605	0.00179353418845459	higher TF activity -> resistance	TRUE	0.14040404040404	Negative_Correlated_CI_Significant	CID:5311	CID:5311_ZNF254_Negative_Correlated_CI_Significant	PRISM	Vorinostat	HDAC inhibitor	Vorinostat	Small Molecule Inhibitor	Vorinostat_ZNF254_PRISM	Non-Prognostic	NA
ZNF540	CID:3385	CTRPv2	5-Fluorouracil	ZNF540	56	0.3210187316228	0.371502927781392	0.000551532256732355	0.298595876867067	0.444409978695718	-0.387517944715623	0.0467502377903062	higher TF activity -> resistance	TRUE	0.128497072218608	Negative_Correlated_CI_Significant	CID:3385	CID:3385_ZNF540_Negative_Correlated_CI_Significant	CTRPv2	5-Fluorouracil	pyrimidine analog; inhibitor of thymidylate synthase	5-Fluorouracil	Anti-metabolite	5-Fluorouracil_ZNF540_CTRPv2	Non-Prognostic	Non-Prognostic
ZNF540	CID:3385	GDSC2	5-Fluorouracil	ZNF540	48	0.324755663067192	0.363555555555556	8.4714036891001e-05	0.29551955198744	0.431591559123671	-0.391271308352986	0.00903699446481355	higher TF activity -> resistance	TRUE	0.136444444444444	Negative_Correlated_CI_Significant	CID:3385	CID:3385_ZNF540_Negative_Correlated_CI_Significant	GDSC2	5-Fluorouracil	Other	5-Fluorouracil	Anti-metabolite	5-Fluorouracil_ZNF540_GDSC2	Non-Prognostic	Non-Prognostic
