analysis	program_id	che_eligibility	eligibility_use	liu_frozen_direction	che_median_delta_lm_minus_primary	che_hodges_lehmann_delta	che_exact_sign_flip_p_two_sided	pairs_in_liu_direction	pairs_opposite_liu_direction	paired_patients	direction_consistent_with_liu	replication_status_before_sensitivity
sensitivity_dual_all_cells	1	eligible_for_confirmatory_che	core_candidate	lower_in_liver_metastasis	-0.008994632600515029	0.0033536657660320213	0.8125	3	2	5	True	directionally_consistent_weak
sensitivity_dual_all_cells	2	not_eligible_for_confirmatory_che	negative_or_exploratory_only	higher_in_liver_metastasis	0.005306793424440459	-0.026275133205128892	0.5	3	2	5	True	directionally_consistent_weak
sensitivity_dual_all_cells	3	not_eligible_for_confirmatory_che	negative_or_exploratory_only	lower_in_liver_metastasis	0.02223636080264957	0.02223636080264957	0.375	1	4	5	False	not_replicated_or_opposite
sensitivity_dual_all_cells	4	not_eligible_for_confirmatory_che	negative_or_exploratory_only	lower_in_liver_metastasis	-0.012779096850861538	-0.030499524691720042	0.4375	3	2	5	True	directionally_consistent_weak
sensitivity_dual_all_cells	5	not_eligible_for_confirmatory_che	negative_or_exploratory_only	lower_in_liver_metastasis	0.014774363240245558	0.027891915854514462	0.4375	2	3	5	False	not_replicated_or_opposite
sensitivity_dual_all_cells	6	not_eligible_for_confirmatory_che	negative_or_exploratory_only	lower_in_liver_metastasis	0.01595106132432844	0.01595106132432844	0.25	2	3	5	False	not_replicated_or_opposite
sensitivity_dual_all_cells	7	eligible_for_confirmatory_che	core_candidate	higher_in_liver_metastasis	-0.05363248633803472	-0.0450779203744725	0.125	1	4	5	False	not_replicated_or_opposite
sensitivity_dual_all_cells	8	eligible_for_confirmatory_che	eligible_control_or_review	lower_in_liver_metastasis	0.004263204710620784	0.004263204710620784	0.6875	2	3	5	False	not_replicated_or_opposite
sensitivity_dual_all_cells	9	not_eligible_for_confirmatory_che	negative_or_exploratory_only	higher_in_liver_metastasis	0.03470298160256899	0.03470298160256899	0.4375	4	1	5	True	directionally_replicated_underpowered
sensitivity_dual_all_cells	10	not_eligible_for_confirmatory_che	negative_or_exploratory_only	lower_in_liver_metastasis	-0.02717656025694734	-0.023116504594526827	0.1875	4	1	5	True	directionally_replicated_underpowered
