system	sample_id	sample_slug	run	layout	host_depletion	source_accession	independent_biological_unit	figure2_primary_include	filtered_human_reads	filtered_human_units	peak_count	frip	worker_hard_qc_status	processing_status	final_artifacts_ok	qc_manifest_match	figure2_qualified	failure_reason	filtered_bam	narrowpeak	qc_record	early_stop_receipt
PDX	MGH10022	MGH10022	SRR29662772	PAIRED	mouse_then_human	GSE269746	MGH10022	TRUE					MISSING	ABORTED_AFTER_LOCKED_DATA_GATE	FALSE	FALSE	FALSE	aborted_after_locked_data_gate	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH10022/MGH10022.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH10022/peaks/MGH10022_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH10022.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH10022.early_stop.json
PDX	MGH1062	MGH1062	SRR29662769	PAIRED	mouse_then_human	GSE269746	MGH1062	TRUE					MISSING	NOT_RUN_AFTER_LOCKED_DATA_GATE	FALSE	FALSE	FALSE	not_run_after_locked_data_gate	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1062/MGH1062.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1062/peaks/MGH1062_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH1062.tsv	
PDX	MGH1065	MGH1065	SRR29662768	PAIRED	mouse_then_human	GSE269746	MGH1065	TRUE					MISSING	NOT_RUN_AFTER_LOCKED_DATA_GATE	FALSE	FALSE	FALSE	not_run_after_locked_data_gate	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1065/MGH1065.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1065/peaks/MGH1065_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH1065.tsv	
PDX	MGH1068	MGH1068	SRR29662767	PAIRED	mouse_then_human	GSE269746	MGH1068	TRUE					MISSING	NOT_RUN_AFTER_LOCKED_DATA_GATE	FALSE	FALSE	FALSE	not_run_after_locked_data_gate	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1068/MGH1068.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1068/peaks/MGH1068_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH1068.tsv	
PDX	MGH1089	MGH1089	SRR29662766	PAIRED	mouse_then_human	GSE269746	MGH1089	TRUE					MISSING	NOT_RUN_AFTER_LOCKED_DATA_GATE	FALSE	FALSE	FALSE	not_run_after_locked_data_gate	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1089/MGH1089.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1089/peaks/MGH1089_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH1089.tsv	
PDX	MGH1109	MGH1109	SRR29662765	PAIRED	mouse_then_human	GSE269746	MGH1109	TRUE					MISSING	NOT_RUN_AFTER_LOCKED_DATA_GATE	FALSE	FALSE	FALSE	not_run_after_locked_data_gate	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1109/MGH1109.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1109/peaks/MGH1109_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH1109.tsv	
PDX	MGH1112	MGH1112	SRR29662764	PAIRED	mouse_then_human	GSE269746	MGH1112	TRUE					MISSING	NOT_RUN_AFTER_LOCKED_DATA_GATE	FALSE	FALSE	FALSE	not_run_after_locked_data_gate	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1112/MGH1112.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1112/peaks/MGH1112_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH1112.tsv	
PDX	MGH1139	MGH1139	SRR29662763	PAIRED	mouse_then_human	GSE269746	MGH1139	TRUE					MISSING	NOT_RUN_AFTER_LOCKED_DATA_GATE	FALSE	FALSE	FALSE	not_run_after_locked_data_gate	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1139/MGH1139.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1139/peaks/MGH1139_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH1139.tsv	
PDX	MGH1157	MGH1157	SRR29662762	PAIRED	mouse_then_human	GSE269746	MGH1157	TRUE					MISSING	NOT_RUN_AFTER_LOCKED_DATA_GATE	FALSE	FALSE	FALSE	not_run_after_locked_data_gate	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1157/MGH1157.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1157/peaks/MGH1157_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH1157.tsv	
PDX	MGH1174	MGH1174	SRR29662761	PAIRED	mouse_then_human	GSE269746	MGH1174	TRUE					MISSING	NOT_RUN_AFTER_LOCKED_DATA_GATE	FALSE	FALSE	FALSE	not_run_after_locked_data_gate	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1174/MGH1174.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1174/peaks/MGH1174_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH1174.tsv	
